HITI,Highland Tinamou,Nothocercus bonapartei,NOTBON
CADO,Caribbean Dove,Leptotila jamaicensis,LEPJAM
GCDO,Gray-chested Dove,Leptotila cassinii,LEPCAS
GHDO,Gray-headed Dove,Leptotila plumbeiceps,LEPPLU
GRDO,Grenada Dove,Leptotila wellsi,LEPWEL
TUQD,Tuxtla Quail-Dove,Zentrygon carrikeri,ZENCAR
BFQD,Buff-fronted Quail-Dove,Zentrygon costaricensis,ZENCOS
PBQD,Purplish-backed Quail-Dove,Zentrygon lawrencii,ZENLAW
WFAQ,White-faced Quail-Dove,Zentrygon albifacies,ZENALB
CHQD,Chiriqui Quail-Dove,Zentrygon chiriquensis,ZENCHI
RCQD,Russet-crowned Quail-Dove,Zentrygon goldmani,ZENGOL
WWDO,White-winged Dove,Zenaida asiatica,ZENASI
ZEND,Zenaida Dove,Zenaida aurita,ZENAUT,
EADO,Eared Dove,Zenaida auriculata,ZENAUC,
MODO,Mourning Dove,Zenaida macroura,ZENMAC
SODO,Socorro Dove,Zenaida graysoni,ZENGRA
GRTA,Greater Ani,Crotophaga major,CROMAJ
SBAN,Smooth-billed Ani,Crotophaga ani,CROANI
GBAN,Groove-billed Ani,Crotophaga sulcirostris,CROSUL
STCU,Striped Cuckoo,Tapera naevia,TAPNAE
PHCU,Pheasant Cuckoo,Dromococcyx phasianellus,DROPHA
LEGC,Lesser Ground-Cuckoo,Morococcyx erythropygus,MORERY
LERO,Lesser Roadrunner,Geococcyx velox,GEOVEL
GRRO,Greater Roadrunner,Geococcyx californianus,GEOCAL
RVGC,Rufous-vented Ground-Cuckoo,Neomorphus geoffroyi,NEOGEO
COCU,Common Cuckoo,Cuculus canorus,CUCCAN
ORCU,Oriental Cuckoo,Cuculus optatus,CUCOPT
LITC,Little Cuckoo,Coccycua minuta,COCMIT,
DWCU,Dwarf Cuckoo,Coccycua pumila,COCPUM
SQCU,Squirrel Cuckoo,Piaya cayana,PIACAY
DBCU,Dark-billed Cuckoo,Coccyzus melacoryphus,COCMEL
YBCU,Yellow-billed Cuckoo,Coccyzus americanus,COCAME
PBCU,Pearly-breasted Cuckoo,Coccyzus euleri,COCEUL
MACU,Mangrove Cuckoo,Coccyzus minor,COCMIR,
COCC,Cocos Cuckoo,Coccyzus ferrugineus,COCFER
BBCU,Black-billed Cuckoo,Coccyzus erythropthalmus,COCERY
GCCU,Gray-capped Cuckoo,Coccyzus lansbergi,COCLAN
CBCU,Chestnut-bellied Cuckoo,Coccyzus pluvialis,COCPLU
BBRC,Bay-breasted Cuckoo,Coccyzus rufigularis,COCRUF
JALC,Jamaican Lizard-Cuckoo,Coccyzus vetula,COCVE
PRLC,Puerto Rican Lizard-Cuckoo,Coccyzus vieilloti,COCVI
GRLC,Great Lizard-Cuckoo,Coccyzus merlini,COCME
HILC,Hispaniolan Lizard-Cuckoo,Coccyzus longirostris,COCLO
SHTN,Short-tailed Nighthawk,Lurocalis semitorquatus,LURSE
LENI,Lesser Nighthawk,Chordeiles acutipennis,CHOAC
CONI,Common Nighthawk,Chordeiles minor,CHOMI
ANNI,Antillean Nighthawk,Chordeiles gundlachii,CHOGU
COPA,Common Pauraque,Nyctidromus albicollis,NYCAL
COPO,Common Poorwill,Phalaenoptilus nuttallii,PHANU
JAPA,Jamaican Pauraque,Siphonorhis americana,SIPAM
LEPA,Least Pauraque,Siphonorhis brewsteri,SIPBR
EAPO,Eared Poorwill,Nyctiphrynus mcleodii,NYCMC
YUPO,Yucatan Poorwill,Nyctiphrynus yucatanicus,NYCYU
OCPO,Ocellated Poorwill,Nyctiphrynus ocellatus,NYCOC
CWWI,Chuck-will's-widow,Antrostomus carolinensis,ANTCA
RUNI,Rufous Nightjar,Antrostomus rufus,ANTRUF
CUNI,Cuban Nightjar,Antrostomus cubanensis,ANTCUB
HINI,Hispaniolan Nightjar,Antrostomus ekmani,ANTEKM
TCNI,Tawny-collared Nightjar,Antrostomus salvini,ANTSAL
YUNI,Yucatan Nightjar,Antrostomus badius,ANTBAD
BCNI,Buff-collared Nightjar,Antrostomus ridgwayi,ANTRID
EWPW,Eastern Whip-poor-will,Antrostomus vociferus,ANTVOC
DUNI,Dusky Nightjar,Antrostomus saturatus,ANTSAT
MWPW,Mexican Whip-poor-will,Antrostomus arizonae,ANTARI
PRNI,Puerto Rican Nightjar,Antrostomus noctitherus,ANTNOC
WTNI,White-tailed Nightjar,Hydropsalis cayennensis,HYDCAY
SPTN,Spot-tailed Nightjar,Hydropsalis maculicaudus,HYDMAU,
GRNI,Gray Nightjar,Caprimulgus jotaka,CAPJOT
OILB,Oilbird,Steatornis caripensis,STECAR
GRPO,Great Potoo,Nyctibius grandis,NYCGRA
CPOT,Common Potoo,Nyctibius griseus,NYCGRI
NORP,Northern Potoo,Nyctibius jamaicensis,NYCJA
BLSW,Black Swift,Cypseloides niger,CYPNI
WFSW,White-fronted Swift,Cypseloides storeri,CYPST
WCHS,White-chinned Swift,Cypseloides cryptus,CYPCR
SFSW,Spot-fronted Swift,Cypseloides cherriei,CYPCH
CCSW,Chestnut-collared Swift,Streptoprocne rutila,STRRU
WCSW,White-collared Swift,Streptoprocne zonaris,STRZO
WNSW,White-naped Swift,Streptoprocne semicollaris,STRSE
GRSW,Gray-rumped Swift,Chaetura cinereiventris,CHACI
BRSW,Band-rumped Swift,Chaetura spinicaudus,CHASP
CRSW,Costa Rican Swift,Chaetura fumosa,CHAFU
LASW,Lesser Antillean Swift,Chaetura martinica,CHAMA
CHSW,Chimney Swift,Chaetura pelagica,CHAPE
VASW,Vaux's Swift,Chaetura vauxi,CHAVA
CHAS,Chapman's Swift,Chaetura chapmani,CHACH
SISW,Sick's Swift,Chaetura meridionalis,CHAME
STSW,Short-tailed Swift,Chaetura brachyura,CHABR
WTNE,White-throated Needletail,Hirundapus caudacutus,HIRCA
MASW,Mariana Swiftlet,Aerodramus bartschi,AERBA
COSW,Common Swift,Apus apus,APUAP
FTSW,Fork-tailed Swift,Apus pacificus,APUPA
ALSW,Alpine Swift,Apus melba,APUME
WTSW,White-throated Swift,Aeronautes saxatalis,AERSA
LSTS,Lesser Swallow-tailed Swift,Panyptila cayennensis,PANCA
GSTS,Great Swallow-tailed Swift,Panyptila sanctihieronymi,PANSA
ANPS,Antillean Palm-Swift,Tachornis phoenicobia,TACPH
WNJA,White-necked Jacobin,Florisuga mellivora,FLOME
WTSI,White-tipped Sicklebill,Eutoxeres aquila,EUTAQ
BRHE,Bronzy Hermit,Glaucis aeneus,GLAAE
RBHE,Rufous-breasted Hermit,Glaucis hirsutus,GLAHI
BTBA,Band-tailed Barbthroat,Threnetes ruckeri,THRRU
GREH,Green Hermit,Phaethornis guy,PHAGU
MEHE,Mexican Hermit,Phaethornis mexicanus,PHAME
LBIH,Long-billed Hermit,Phaethornis longirostris,PHALO
PBHE,Pale-bellied Hermit,Phaethornis anthophilus,PHAAN
STHR,Stripe-throated Hermit,Phaethornis striigularis,PHAST
GFRL,Green-fronted Lancebill,Doryfera ludovicae,DORLU
BRVI,Brown Violetear,Colibri delphinae,COLDE
MEVI,Mexican Violetear,Colibri thalassinus,COLTH
LEVI,Lesser Violetear,Colibri cyanotus,COLCY
TBHU,Tooth-billed Hummingbird,Androdon aequatorialis,ANDAE
PCFA,Purple-crowned Fairy,Heliothryx barroti,HELBA
RTOH,Ruby-topaz Hummingbird,Chrysolampis mosquitus,CHRMO
GNBM,Green-breasted Mango,Anthracothorax prevostii,ANTPR
BTMA,Black-throated Mango,Anthracothorax nigricollis,ANTNI
VERM,Veraguan Mango,Anthracothorax veraguensis,ANTVE
HIMA,Hispaniolan Mango,Anthracothorax dominicus,ANTDO
PRMA,Puerto Rican Mango,Anthracothorax aurulentus,ANTAU
GMAG,Green Mango,Anthracothorax viridis,ANTVI
JAMA,Jamaican Mango,Anthracothorax mango,ANTMA
PTCA,Purple-throated Carib,Eulampis jugularis,EULJU
GTCA,Green-throated Carib,Eulampis holosericeus,EULHO
GRET,Green Thorntail,Discosura conversii,DISCO
SCCO,Short-crested Coquette,Lophornis brachylophus,LOPBR
RCRC,Rufous-crested Coquette,Lophornis delattrei,LOPDE
BCCO,Black-crested Coquette,Lophornis helenae,LOPHE
WCCO,White-crested Coquette,Lophornis adorabilis,LOPAD
GRPU,Greenish Puffleg,Haplophaedia aureliae,HAPAU
GCBR,Green-crowned Brilliant,Heliodoxa jacula,HELJA
RIHU,Rivoli's Hummingbird,Eugenes fulgens,EUGFU
TAHU,Talamanca Hummingbird,Eugenes spectabilis,EUGSP
FTHU,Fiery-throated Hummingbird,Panterpe insignis,PANIN
LBST,Long-billed Starthroat,Heliomaster longirostris,HELLO
PCST,Plain-capped Starthroat,Heliomaster constantii,HELCO
GTMG,Green-throated Mountain-gem,Lampornis viridipallens,LAMVI
GBMG,Green-breasted Mountain-gem,Lampornis sybillae,LAMSY
ATMG,Amethyst-throated Mountain-gem,Lampornis amethystinus,LAMAM
BTMG,Blue-throated Mountain-gem,Lampornis clemenciae,LAMCL
WBMG,White-bellied Mountain-gem,Lampornis hemileucus,LAMHE
PTMG,Purple-throated Mountain-gem,Lampornis calolaemus,LAMCA
WTMG,White-throated Mountain-gem,Lampornis castaneoventris,LAMCA
GATH,Garnet-throated Hummingbird,Lamprolaima rhami,LAMRH
MTWO,Magenta-throated Woodstar,Philodice bryantae,PHIBR
PTWO,Purple-throated Woodstar,Philodice mitchellii,PHIMI
SLSH,Slender Sheartail,Doricha enicura,DOREN
MESH,Mexican Sheartail,Doricha eliza,DOREL
SKTH,Sparkling-tailed Hummingbird,Tilmatura dupontii,TILDU
LUHU,Lucifer Hummingbird,Calothorax lucifer,CALLU
BEAH,Beautiful Hummingbird,Calothorax pulcher,CALPU
RTHU,Ruby-throated Hummingbird,Archilochus colubris,ARCCO
BCHU,Black-chinned Hummingbird,Archilochus alexandri,ARCAL
VEHU,Vervain Hummingbird,Mellisuga minima,MELMI
BEEH,Bee Hummingbird,Mellisuga helenae,MELHE
BAWO,Bahama Woodstar,Nesophlox evelynae,NESEV
INWO,Inagua Woodstar,Nesophlox lyrura,NESLY
ANHU,Anna's Hummingbird,Calypte anna,CALAN
ACHH,Anna's x Costa's Hummingbird Hybrid,Calypte anna x costae,CALAN
COHU,Costa's Hummingbird,Calypte costae,CALCO
CAHU,Calliope Hummingbird,Selasphorus calliope,SELCA
RUHU,Rufous Hummingbird,Selasphorus rufus,SELRU
RAHH,Rufous x Allen's Hummingbird Hybrid,Selasphorus rufus x sasin,SELRU
ALHU,Allen's Hummingbird,Selasphorus sasin,SELSA
BTHU,Broad-tailed Hummingbird,Selasphorus platycercus,SELPL
